,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,10.0,
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,9.09,47.6
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,20.0,
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,9.00,65.5
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,7.14,50.0
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,9.93,38.7
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,9.06,29.6
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,3.96,36.7
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,0,
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,9.07,79.2
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,12.9,60.0
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,4.05,58.2
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,de Bundesliga,30,0.7,8.57,33.3
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,10.0,0.0
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,11.8,74.8
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,1.1,6.36,76.5
Marcos Acuña\Marcos-Acuna,DF,Sevilla,es La Liga,28,25.9,8.30,38.0
Che Adams\Che-Adams,FW,Southampton,eng Premier League,24,29.6,4.02,25.0
Tyler Adams\Tyler-Adams,DFMF,RB Leipzig,de Bundesliga,21,20.6,11.0,56.8
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,de Bundesliga,27,5.3,5.47,36.0
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,eng Premier League,22,32.8,8.48,71.9
