,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Values,Team
0,Rúnar Alex Rúnarsson,GK,Arsenal,eng Premier League,25.0,1.0,0.0,16.0,0.2,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.1,0.5,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,17.5,1650000.0,arsenal fc
1,Alisson,GK,Liverpool,eng Premier League,27.0,33.0,33.0,2970.0,33.0,32.0,0.97,111.0,82.0,74.8,18.0,8.0,7.0,10.0,30.3,4.0,1.0,4.0,0.0,37.9,0.31,5.9,0.18,127.0,275.0,46.2,218.0,22.0,10.1,44.0,1.33,17.9,66000000.0,liverpool fc
2,Saturnin Allagbé,GK,Dijon,fr Ligue 1,26.0,12.0,12.0,1080.0,12.0,30.0,2.5,64.0,35.0,54.7,2.0,2.0,8.0,3.0,25.0,1.0,1.0,3.0,1.0,21.5,0.31,-7.5,-0.63,80.0,211.0,37.9,105.0,4.0,3.8,13.0,1.08,14.8,1320000.0,dijon fco
3,Alphonse Areola,GK,Fulham,eng Premier League,27.0,36.0,36.0,3240.0,36.0,48.0,1.33,156.0,114.0,73.1,5.0,13.0,18.0,9.0,25.0,6.0,0.0,4.0,1.0,54.6,0.32,7.6,0.21,171.0,431.0,39.7,325.0,32.0,9.8,20.0,0.56,13.9,18700000.0,fulham fc
4,Sergio Asenjo,GK,Villarreal,es La Liga,31.0,36.0,36.0,3240.0,36.0,41.0,1.14,114.0,83.0,70.2,15.0,13.0,8.0,10.0,27.8,7.0,0.0,4.0,2.0,34.8,0.25,-3.2,-0.09,210.0,462.0,45.5,427.0,42.0,9.8,21.0,0.58,13.8,9900000.0,villarreal cf
5,Emil Audero,GK,Sampdoria,it Serie A,23.0,37.0,37.0,3330.0,37.0,54.0,1.46,165.0,117.0,71.5,14.0,7.0,16.0,6.0,16.2,7.0,1.0,6.0,1.0,51.3,0.27,-1.7,-0.05,254.0,612.0,41.5,381.0,30.0,7.9,15.0,0.41,12.7,15400000.0,uc sampdoria
6,Stefan Bajic,GK,Saint-Étienne,fr Ligue 1,18.0,1.0,1.0,90.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.44,-2.2,-2.23,3.0,17.0,17.6,12.0,2.0,16.7,0.0,0.0,13.6,1100000.0,as saint etienne
7,Oliver Baumann,GK,Hoffenheim,de Bundesliga,30.0,31.0,31.0,2790.0,31.0,51.0,1.65,126.0,81.0,64.3,10.0,8.0,13.0,6.0,19.4,6.0,0.0,4.0,2.0,48.1,0.33,-0.9,-0.03,190.0,459.0,41.4,272.0,11.0,4.0,36.0,1.16,15.1,5500000.0,tsg 1899 hoffenheim
8,Walter Benítez,GK,Nice,fr Ligue 1,27.0,38.0,38.0,3420.0,38.0,53.0,1.39,167.0,119.0,72.5,15.0,7.0,16.0,9.0,23.7,7.0,0.0,12.0,0.0,48.5,0.26,-4.5,-0.12,129.0,346.0,37.3,355.0,25.0,7.0,17.0,0.45,13.3,11000000.0,ogc nice
9,Alessandro Berardi,GK,Hellas Verona,it Serie A,29.0,1.0,0.0,28.0,0.3,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.15,3.0,10.0,30.0,5.0,1.0,20.0,0.0,0.0,0.0,55000.0,hellas verona
10,Paul Bernardoni,GK,Angers,fr Ligue 1,23.0,38.0,38.0,3420.0,38.0,58.0,1.53,134.0,82.0,61.9,12.0,8.0,18.0,9.0,23.7,7.0,0.0,6.0,1.0,49.9,0.33,-7.1,-0.19,177.0,512.0,34.6,318.0,24.0,7.5,11.0,0.29,13.1,11000000.0,sco angers
11,Dimitry Bertaud,GK,Montpellier,fr Ligue 1,22.0,9.0,7.0,745.0,8.3,11.0,1.33,40.0,29.0,75.0,4.0,2.0,1.0,3.0,42.9,1.0,0.0,1.0,0.0,12.0,0.29,1.0,0.12,109.0,198.0,55.1,96.0,13.0,13.5,2.0,0.24,11.6,1100000.0,montpellier hsc
12,Rubén Blanco,GK,Celta Vigo,es La Liga,25.0,19.0,19.0,1637.0,18.2,27.0,1.48,60.0,34.0,56.7,7.0,6.0,6.0,4.0,21.1,1.0,1.0,2.0,0.0,22.8,0.37,-4.2,-0.23,111.0,298.0,37.2,149.0,9.0,6.0,12.0,0.66,14.9,5500000.0,celta de vigo
13,Elias Bördner,GK,Eint Frankfurt,de Bundesliga,18.0,1.0,1.0,90.0,1.0,1.0,1.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.13,-0.2,-0.24,4.0,18.0,22.2,10.0,0.0,0.0,0.0,0.0,7.5,275000.0,eintracht frankfurt
14,Claudio Bravo,GK,Betis,es La Liga,37.0,20.0,20.0,1800.0,20.0,25.0,1.25,69.0,48.0,69.6,8.0,8.0,4.0,7.0,35.0,4.0,0.0,2.0,1.0,27.1,0.34,3.1,0.16,139.0,358.0,38.8,186.0,10.0,5.4,8.0,0.4,12.8,1100000.0,real betis balompie
15,Fabian Bredlow,GK,Stuttgart,de Bundesliga,25.0,1.0,1.0,90.0,1.0,1.0,1.0,9.0,8.0,88.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.27,1.4,1.41,2.0,11.0,18.2,17.0,1.0,5.9,0.0,0.0,10.3,550000.0,vfb stuttgart
16,Jack Butland,GK,Crystal Palace,eng Premier League,27.0,1.0,1.0,90.0,1.0,2.0,2.0,5.0,3.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.17,-1.2,-1.17,3.0,18.0,16.7,10.0,1.0,10.0,2.0,2.0,23.0,2200000.0,crystal palace
17,David Button,GK,West Brom,eng Premier League,31.0,1.0,1.0,90.0,1.0,2.0,2.0,7.0,5.0,71.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7,0.24,-0.3,-0.31,8.0,29.0,27.6,10.0,1.0,10.0,0.0,0.0,10.0,1100000.0,west bromwich albion
18,Willy Caballero,GK,Chelsea,eng Premier League,38.0,1.0,1.0,90.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.49,-1.5,-1.54,1.0,3.0,33.3,8.0,0.0,0.0,2.0,2.0,22.0,275000.0,chelsea fc
19,Marc-Aurèle Caillard,GK,Metz,fr Ligue 1,26.0,5.0,4.0,361.0,4.0,10.0,2.49,20.0,13.0,65.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,9.2,0.33,-0.8,-0.2,17.0,48.0,35.4,29.0,4.0,13.8,2.0,0.5,14.6,1100000.0,fc metz
20,Scott Carson,GK,Manchester City,eng Premier League,34.0,1.0,1.0,90.0,1.0,3.0,3.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.4,0.21,-0.6,-0.58,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,14.6,330000.0,manchester city
21,Kiko Casilla,GK,Leeds United,eng Premier League,33.0,3.0,3.0,270.0,3.0,2.0,0.67,12.0,10.0,83.3,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,4.3,0.36,2.3,0.77,16.0,26.0,61.5,18.0,3.0,16.7,1.0,0.33,14.9,880000.0,leeds united
22,Koen Casteels,GK,Wolfsburg,de Bundesliga,28.0,32.0,32.0,2880.0,32.0,33.0,1.03,101.0,72.0,70.3,17.0,9.0,6.0,14.0,43.8,3.0,1.0,3.0,1.0,33.4,0.31,1.4,0.05,236.0,535.0,44.1,257.0,21.0,8.2,34.0,1.06,15.7,15400000.0,vfl wolfsburg
23,Sébastien Cibois,GK,Brest,fr Ligue 1,22.0,3.0,3.0,270.0,3.0,4.0,1.33,10.0,7.0,70.0,1.0,1.0,1.0,1.0,33.3,1.0,0.0,0.0,0.0,5.0,0.45,1.0,0.34,14.0,37.0,37.8,28.0,3.0,10.7,2.0,0.67,14.2,440000.0,stade brest 29
24,Jasper Cillessen,GK,Valencia,es La Liga,31.0,10.0,10.0,900.0,10.0,11.0,1.1,45.0,33.0,77.8,5.0,1.0,4.0,3.0,30.0,1.0,1.0,0.0,0.0,12.1,0.23,1.1,0.11,71.0,198.0,35.9,123.0,8.0,6.5,8.0,0.8,13.4,5500000.0,valencia cf
25,Simone Colombi,GK,Parma,it Serie A,29.0,2.0,2.0,180.0,2.0,7.0,3.5,9.0,3.0,33.3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,4.9,0.46,-2.1,-1.07,16.0,30.0,53.3,13.0,1.0,7.7,1.0,0.5,13.0,660000.0,parma calcio 1913
26,Benoît Costil,GK,Bordeaux,fr Ligue 1,33.0,38.0,38.0,3420.0,38.0,57.0,1.5,148.0,98.0,66.2,13.0,6.0,19.0,14.0,36.8,7.0,2.0,6.0,1.0,46.6,0.27,-8.4,-0.22,318.0,690.0,46.1,324.0,18.0,5.6,21.0,0.55,13.8,3080000.0,fc girondins bordeaux
27,Thibaut Courtois,GK,Real Madrid,es La Liga,28.0,38.0,38.0,3420.0,38.0,28.0,0.74,111.0,90.0,81.1,25.0,9.0,4.0,17.0,44.7,7.0,0.0,3.0,1.0,29.8,0.22,2.8,0.07,136.0,351.0,38.7,286.0,27.0,9.4,24.0,0.63,15.0,66000000.0,real madrid
28,Finn Dahmen,GK,Mainz 05,de Bundesliga,22.0,3.0,3.0,270.0,3.0,10.0,3.33,20.0,11.0,55.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,9.2,0.42,-0.8,-0.26,9.0,26.0,34.6,34.0,1.0,2.9,2.0,0.67,11.6,2200000.0,1 fsv mainz 05
29,Karl Darlow,GK,Newcastle Utd,eng Premier League,29.0,25.0,25.0,2250.0,25.0,43.0,1.72,120.0,81.0,66.7,7.0,4.0,14.0,4.0,16.0,3.0,1.0,4.0,2.0,37.0,0.28,-4.0,-0.16,184.0,532.0,34.6,239.0,22.0,9.2,6.0,0.24,12.2,3300000.0,newcastle united
30,Yehvann Diouf,GK,Reims,fr Ligue 1,20.0,2.0,1.0,135.0,1.5,1.0,0.67,5.0,5.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03,0.0,0.01,5.0,16.0,31.3,11.0,0.0,0.0,1.0,0.67,15.3,550000.0,stade reims
