Player,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
,,,,,,,,,,,,,,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,11,0.34,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,56,1.70,40,1,1,5,4,5,10,0.30,6,1,0,1,1,1
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,14,1.38,11,1,1,0,1,0,2,0.20,2,0,0,0,0,0
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,7,0.50,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0
Amir Abrashi\Amir-Abrashi,MF,Freiburg,de Bundesliga,30,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,6,1.22,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,32,1.02,27,1,0,2,0,2,4,0.13,4,0,0,0,0,0
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Acuña\Marcos-Acuna,DF,Sevilla,es La Liga,28,25.9,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0
Che Adams\Che-Adams,FW,Southampton,eng Premier League,24,29.6,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0
Tyler Adams\Tyler-Adams,DFMF,RB Leipzig,de Bundesliga,21,20.6,27,1.31,23,0,0,0,3,1,3,0.15,2,0,0,0,0,1
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,de Bundesliga,27,5.3,22,4.13,15,1,1,2,3,0,6,1.13,3,0,0,2,1,0
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,eng Premier League,22,32.8,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0
Bobby Adekanye\Bobby-Adekanye,FWMF,Cádiz,es La Liga,21,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yacine Adli\Yacine-Adli,MF,Bordeaux,fr Ligue 1,20,26.9,92,3.42,68,9,6,1,3,5,8,0.30,6,1,0,1,0,0
Andrea Adorante\Andrea-Adorante,FW,Parma,it Serie A,20,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Adrián\Adrian,GK,Liverpool,eng Premier League,33,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
