Player,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
,,,,,,,,,,,,,,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,2,0,0,11,4,3,34,34,19,0,0,0,179,10,11,47.6
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,4,1,0,38,23,0,0,56,45,0,0,0,289,93,49,65.5
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,1,0,0,2,1,0,1,1,0,0,0,0,5,1,1,50.0
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,5,0,0,43,38,0,18,46,108,1,0,0,298,8,19,29.6
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,1,0,0,18,8,7,4,7,4,0,0,0,40,36,62,36.7
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,1,0,0,10,9,1,1,32,11,0,0,0,127,57,15,79.2
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,5,1,1,11,8,1,8,15,13,0,0,0,176,39,26,60.0
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,0,0,0,22,12,5,4,2,4,1,0,0,47,39,28,58.2
Amir Abrashi\Amir-Abrashi,MF,Freiburg,de Bundesliga,30,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,2,0,0,10,12,1,7,4,7,0,0,0,49,0,9,0.0
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,9,1,1,31,25,2,26,62,38,0,0,0,368,77,26,74.8
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,1.1,1,0,0,5,1,1,0,0,0,0,0,0,7,13,4,76.5
Marcos Acuña\Marcos-Acuna,DF,Sevilla,es La Liga,28,25.9,5,0,0,45,33,2,81,25,47,0,2,0,215,19,31,38.0
Che Adams\Che-Adams,FW,Southampton,eng Premier League,24,29.6,1,0,0,29,55,19,13,11,17,0,0,0,119,47,141,25.0
Tyler Adams\Tyler-Adams,DFMF,RB Leipzig,de Bundesliga,21,20.6,3,0,0,29,29,2,12,31,31,0,0,0,227,25,19,56.8
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,de Bundesliga,27,5.3,2,0,0,5,8,3,6,7,5,0,0,0,29,9,16,36.0
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,eng Premier League,22,32.8,1,0,0,16,6,2,3,55,26,0,1,1,278,100,39,71.9
Bobby Adekanye\Bobby-Adekanye,FWMF,Cádiz,es La Liga,21,0.4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,
Yacine Adli\Yacine-Adli,MF,Bordeaux,fr Ligue 1,20,26.9,6,0,0,39,37,0,30,41,62,0,0,0,216,30,25,54.5
Andrea Adorante\Andrea-Adorante,FW,Parma,it Serie A,20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Adrián\Adrian,GK,Liverpool,eng Premier League,33,3.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,
Martin Agirregabiria\Martin-Agirregabiria,DFMF,Alavés,es La Liga,24,17.3,1,0,0,24,24,1,22,34,16,0,0,0,126,25,24,51.0
Lucien Agoume\Lucien-Agoume,MF,Spezia,it Serie A,18,8.9,2,0,0,16,9,0,0,20,11,0,0,0,104,10,6,62.5
Felix Agu\Felix-Agu,DF,Werder Bremen,de Bundesliga,20,7.8,0,0,0,5,26,1,10,21,16,0,0,0,65,12,14,46.2
Kevin Agudelo\Kevin-Agudelo,FW,Spezia,it Serie A,21,15.1,4,0,0,20,32,2,10,5,30,0,0,0,66,20,36,35.7
Nayef Aguerd\Nayef-Aguerd,DF,Rennes,fr Ligue 1,24,35.0,6,0,0,22,30,2,1,39,37,0,1,0,331,128,57,69.2
Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,eng Premier League,32,6.2,0,0,0,2,7,1,2,4,0,0,0,0,18,2,6,25.0
