Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,22,20,1777,19.7,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.10,0.06,0.10
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,33,33,2889,32.1,3,0,3,0,0,4,1,0.09,0.00,0.09,0.09,0.09,1.7,1.7,0.3,1.9,0.05,0.01,0.06,0.05,0.06
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,3,0,60,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,18,15,1320,14.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.8,1.7,0.07,0.05,0.12,0.07,0.12
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,38,32,2963,32.9,3,1,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,2.7,0.04,0.04,0.08,0.04,0.08
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,24,9,912,10.1,3,2,3,0,0,1,0,0.30,0.20,0.49,0.30,0.49,2.1,2.1,0.3,2.4,0.21,0.03,0.24,0.21,0.24
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14,14,1260,14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.08,0.00,0.09,0.08,0.09
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,14,14,1222,13.6,1,0,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.5,1.1,0.05,0.03,0.08,0.05,0.08
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63
Amir Abrashi\Amir-Abrashi,MF,Freiburg,de Bundesliga,30,5,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,14,2,441,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.06,0.00,0.06,0.06,0.06
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,32,32,2813,31.3,0,1,0,0,0,9,1,0.00,0.03,0.03,0.00,0.03,1.0,1.0,1.0,1.9,0.03,0.03,0.06,0.03,0.06
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,7,0,100,1.1,1,0,1,0,0,1,0,0.90,0.00,0.90,0.90,0.90,0.3,0.3,0.0,0.3,0.24,0.00,0.24,0.24,0.24
Marcos Acuña\Marcos-Acuna,DF,Sevilla,es La Liga,28,30,26,2330,25.9,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,2.8,4.0,0.04,0.11,0.15,0.04,0.15
Che Adams\Che-Adams,FW,Southampton,eng Premier League,24,36,30,2667,29.6,9,5,9,0,0,1,0,0.30,0.17,0.47,0.30,0.47,8.8,8.8,5.8,14.5,0.30,0.19,0.49,0.30,0.49
Tyler Adams\Tyler-Adams,DFMF,RB Leipzig,de Bundesliga,21,27,21,1850,20.6,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,0.9,1.8,0.04,0.04,0.09,0.04,0.09
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,de Bundesliga,27,18,3,479,5.3,2,3,2,0,0,2,0,0.38,0.56,0.94,0.38,0.94,2.2,2.2,1.8,4.0,0.41,0.33,0.75,0.41,0.75
