,Player,Position,Team,Comp,Age,MP,Min,Goals,Ast,G+A,xG,xA,SoT%,npxG/Sh,G-xG,Pass Cmp%,Prog Passes,Through Balls,Passes Under Pressure,Switch Passes,Crosses,Shot Creating Actions,Dribbles to Shot,Def Action to Shot,Tackles,Press,Shots Blocked,Interceptions,Clearances,Errors,Dribbles Successful,Dribble Distance,Mistakes,Ball Recoveries,Air Duels Won%,Values
0,Bruno Ecuele Manga,DF,dijon,fr Ligue 1,32,38,3420,0.05,0.0,0.05,0.04,0.0,23.3,0.05,0.01,86.3,1.74,0.0,4.58,1.39,0.03,0.18,0.03,0.0,1.63,5.92,1.0,2.16,5.5,0.05,0.26,89.5,0.16,9.16,69.7,1320000.0
1,Pierre Hojbjerg,MF,tottenham,eng Premier League,24,38,3420,0.05,0.11,0.16,0.03,0.05,50.0,0.08,0.02,88.9,5.08,0.08,6.42,1.79,0.29,1.37,0.03,0.08,3.13,21.2,0.26,1.29,2.16,0.0,0.66,114.1,0.74,11.3,56.5,38500000.0
2,James Ward-Prowse,MF,southampton,eng Premier League,25,38,3420,0.21,0.18,0.39,0.14,0.11,46.2,0.06,0.07,80.8,4.08,0.11,8.18,2.89,1.37,2.21,0.0,0.0,2.21,16.6,0.13,1.16,2.0,0.0,0.39,91.4,0.42,12.7,43.4,33000000.0
3,Dylan Bronn,DF,metz,fr Ligue 1,25,38,3412,0.05,0.0,0.05,0.06,0.01,23.1,0.05,-0.0,84.4,2.3,0.05,4.51,1.48,0.13,0.63,0.03,0.03,1.98,10.9,0.42,1.0,4.3,0.08,0.42,117.3,0.13,8.42,57.1,6600000.0
4,Ashley Westwood,MF,burnley,eng Premier League,30,38,3410,0.08,0.08,0.16,0.03,0.13,31.6,0.06,0.05,73.7,5.33,0.05,7.26,2.9,1.87,2.22,0.03,0.05,0.66,13.0,0.26,1.27,1.29,0.0,0.32,64.6,0.5,11.1,31.1,5500000.0
5,Stuart Dallas,DFMF,leeds united,eng Premier League,29,38,3409,0.21,0.05,0.26,0.12,0.06,37.5,0.1,0.09,82.0,4.8,0.05,7.92,1.45,1.48,1.95,0.11,0.05,2.08,15.5,0.08,1.56,1.45,0.03,0.58,130.3,0.98,9.68,52.6,4400000.0
6,Matt Targett,DF,aston villa,eng Premier League,24,38,3404,0.0,0.05,0.05,0.01,0.08,33.3,0.04,-0.01,77.0,5.87,0.0,7.72,1.35,2.59,2.12,0.0,0.03,2.57,11.2,0.48,1.24,3.33,0.03,0.42,63.4,0.42,9.39,60.9,18700000.0
7,Luke Ayling,DF,leeds united,eng Premier League,28,38,3399,0.0,0.0,0.0,0.04,0.07,24.0,0.06,-0.04,79.3,5.37,0.11,6.46,2.38,1.85,1.3,0.08,0.03,3.02,14.1,0.9,1.53,2.94,0.05,1.01,218.1,0.93,10.7,51.8,5500000.0
8,Andrew Robertson,DF,liverpool,eng Premier League,26,38,3383,0.03,0.19,0.21,0.04,0.18,26.3,0.07,-0.01,79.9,7.05,0.08,6.2,3.06,3.91,2.82,0.11,0.05,1.41,9.39,0.27,0.9,2.42,0.03,0.77,167.3,1.04,10.1,59.1,71500000.0
9,Youri Tielemans,MF,leicester city,eng Premier League,23,38,3357,0.16,0.11,0.27,0.12,0.09,38.3,0.06,0.04,78.6,5.52,0.19,8.66,2.49,1.21,2.92,0.05,0.11,2.06,13.5,0.29,0.97,0.78,0.0,1.07,115.3,0.78,11.0,51.4,60500000.0
10,John McGinn,MF,aston villa,eng Premier League,25,37,3330,0.08,0.14,0.22,0.06,0.08,23.9,0.05,0.02,77.3,4.84,0.22,6.81,2.32,0.81,2.7,0.08,0.05,2.0,17.5,0.14,1.22,0.81,0.05,1.51,78.5,1.0,8.22,35.1,33000000.0
11,Ollie Watkins,FW,aston villa,eng Premier League,24,37,3328,0.38,0.14,0.51,0.43,0.11,45.9,0.15,-0.05,72.8,1.22,0.0,8.54,0.3,0.97,2.65,0.11,0.11,0.95,16.9,0.08,0.32,0.68,0.0,1.3,59.2,3.0,3.27,43.8,35200000.0
12,Thomas Foket,DF,reims,fr Ligue 1,25,37,3324,0.0,0.08,0.08,0.01,0.05,42.9,0.03,-0.01,79.7,2.9,0.0,5.61,1.22,1.38,1.22,0.0,0.03,2.25,11.9,0.16,1.54,2.55,0.03,0.57,128.8,0.62,7.07,40.3,6600000.0
