,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,0.00,20.0,0.00,0.00,20.0,0.00
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,1.68,10.5,0.36,1.73,2.03,0.05
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,0.00,15.0,0.00,0.00,0.00,0.00
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,2.21,11.8,0.62,1.74,5.30,0.00
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,1.43,22.9,0.00,1.43,1.43,0.00
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,2.52,16.7,0.14,1.56,0.95,0.07
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,4.86,29.1,0.18,1.40,0.40,0.00
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,0.69,22.2,0.10,0.69,0.59,0.00
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,0,1,0,0,0,0
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,1.57,7.64,0.36,2.29,10.1,0.14
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,1.25,10.6,0.37,1.10,2.43,0.00
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,0.69,14.0,0.17,0.17,1.47,0.00
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,de Bundesliga,30,0.7,2.86,18.6,1.43,2.86,0.00,0.00
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,2.24,18.0,0.20,0.82,0.61,0.00
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,1.76,11.2,0.61,1.98,4.95,0.03
