,,,,,,Pass,Pass,Pass,Pass
Player,Pos,Squad,Comp,Age,90s,TB,Press,Sw,Crs
,,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,0.00,0.00,10.0,0.00
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,0.10,5.69,1.02,1.73
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,0.00,0.00,0.00,0.00
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,0.00,5.23,1.21,0.00
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,0.00,10.0,1.43,1.43
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,0.07,5.65,2.24,1.43
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,0.06,9.70,1.61,0.55
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,0.10,7.62,0.20,0.40
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,0,0,0,0
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,0.00,4.79,3.07,0.07
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,0.07,5.51,1.69,0.59
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,0.00,6.64,0.09,0.34
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,de Bundesliga,30,0.7,0.00,12.9,0.00,0.00
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,0.00,7.14,1.43,1.43
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,0.03,5.85,2.33,0.83
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,1.1,0.00,14.5,0.00,0.00
