,,,,,,Tota,
Player,Pos,Squad,Comp,Age,90s,Cmp%,Prog
,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,100.0,0.00
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,78.9,5.69
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,86.7,5.00
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,87.8,2.83
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,58.3,1.43
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,85.0,2.86
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,83.5,3.37
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,67.3,1.09
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,0.0,0
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,80.9,2.21
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,81.9,3.16
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,68.3,0.95
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,de Bundesliga,30,0.7,81.8,0.00
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,84.0,3.27
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,88.6,3.16
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,1.1,54.3,0.91
Marcos Acuña\Marcos-Acuna,DF,Sevilla,es La Liga,28,25.9,80.5,4.71
Che Adams\Che-Adams,FW,Southampton,eng Premier League,24,29.6,70.0,2.06
Tyler Adams\Tyler-Adams,DFMF,RB Leipzig,de Bundesliga,21,20.6,86.1,4.37
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,de Bundesliga,27,5.3,71.9,2.64
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,eng Premier League,22,32.8,87.4,2.23
Bobby Adekanye\Bobby-Adekanye,FWMF,Cádiz,es La Liga,21,0.4,70.0,0.00
Yacine Adli\Yacine-Adli,MF,Bordeaux,fr Ligue 1,20,26.9,82.6,5.28
Andrea Adorante\Andrea-Adorante,FW,Parma,it Serie A,20,0.1,,0.00
Adrián\Adrian,GK,Liverpool,eng Premier League,33,3.0,76.8,0.00
Martin Agirregabiria\Martin-Agirregabiria,DFMF,Alavés,es La Liga,24,17.3,71.5,2.60
Lucien Agoume\Lucien-Agoume,MF,Spezia,it Serie A,18,8.9,89.7,4.04
Felix Agu\Felix-Agu,DFFW,Werder Bremen,de Bundesliga,20,7.8,72.7,1.28
Kevin Agudelo\Kevin-Agudelo,FW,Spezia,it Serie A,21,15.1,72.5,1.99
Nayef Aguerd\Nayef-Aguerd,DF,Rennes,fr Ligue 1,24,35.0,91.4,3.89
Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,eng Premier League,32,6.2,84.1,1.94
Ruben Aguilar\Ruben-Aguilar,DFFW,Monaco,fr Ligue 1,27,24.7,82.4,3.81
Naouirou Ahamada\Naouirou-Ahamada,MF,Stuttgart,de Bundesliga,18,2.8,90.0,2.50
Matteo Ahlinvi\Matteo-Ahlinvi,MF,Nîmes,fr Ligue 1,21,10.0,79.2,1.60
Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,FWDF,Marseille,fr Ligue 1,20,1.4,75.0,0.00
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Strasbourg,fr Ligue 1,26,23.8,84.1,2.31
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Monaco,fr Ligue 1,26,0.4,80.0,5.00
Joseph Aidoo\Joseph-Aidoo,DF,Celta Vigo,es La Liga,24,14.3,82.6,2.73
Ola Aina\Ola-Aina,DF,Fulham,eng Premier League,23,29.6,77.7,3.31
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Angers,fr Ligue 1,19,2.1,91.3,5.71
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,eng Premier League,19,15.6,83.7,2.95
Semi Ajayi\Semi-Ajayi,DF,West Brom,eng Premier League,26,30.9,74.4,2.07
Ludovic Ajorque\Ludovic-Ajorque,FW,Strasbourg,fr Ligue 1,26,33.0,71.1,1.82
Manuel Akanji\Manuel-Akanji,DF,Dortmund,de Bundesliga,25,26.1,92.9,4.90
Carlos Akapo\Carlos-Akapo,DF,Cádiz,es La Liga,27,9.6,66.8,1.35
Marley Aké\Marley-Ake,FW,Marseille,fr Ligue 1,19,1.6,80.0,1.25
Nathan Aké\Nathan-Ake,DF,Manchester City,eng Premier League,25,8.9,93.0,4.04
Paul Akouokou\Paul-Akouokou,MF,Betis,es La Liga,22,4.2,91.8,1.43
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,MF,Lazio,it Serie A,27,11.7,81.4,2.39
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,de Bundesliga,25,13.2,82.2,3.48
David Alaba\David-Alaba,DFMF,Bayern Munich,de Bundesliga,28,29.7,85.1,6.36
Sofiane Alakouch\Sofiane-Alakouch,DF,Nîmes,fr Ligue 1,22,16.7,79.6,3.89
Jony Álamo\Jony-Alamo,MF,Elche,es La Liga,18,0.8,87.5,0.00
Lucas Alario\Lucas-Alario,FW,Leverkusen,de Bundesliga,27,13.8,75.9,0.72
Jordi Alba\Jordi-Alba,DF,Barcelona,es La Liga,31,33.6,85.5,6.28
Luis Alberto\Luis-Alberto,MF,Lazio,it Serie A,27,29.1,78.3,9.97
Raúl Albiol\Raul-Albiol,DF,Villarreal,es La Liga,34,34.6,89.4,3.21
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,19.4,68.8,4.48
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,17.2,73.5,0.52
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,10.1,75.6,1.09
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,20.6,89.5,8.93
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,83.1,2.95
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,81.7,4.31
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,83.7,2.09
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,56.3,2.17
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,90.5,12.0
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,68.9,4.08
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,63.6,0.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,75.3,8.25
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,100.0,2.50
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,63.8,1.28
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,80.1,4.18
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,83.3,0.00
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,85.1,0.03
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,65.9,0.00
Allan\Allan,MF,Everton,eng Premier League,29,22.8,85.8,3.60
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,80.1,3.91
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,81.1,2.41
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,81.6,4.58
