,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,0.00,40.0,0.00
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,0.46,96.8,0.66
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,5.00,200.0,0.00
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,0.37,130.5,0.25
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,1.43,31.4,0.00
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,1.56,114.9,0.41
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,0.67,87.9,1.25
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,1.19,49.9,3.47
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,1,3,0
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,0.36,117.9,0.14
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,0.22,92.7,0.22
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,0.52,21.7,2.24
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,de Bundesliga,30,0.7,0.00,41.4,0.00
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,1.02,122.7,1.63
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,0.35,166.4,0.45
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,1.1,0.00,51.8,6.36
Marcos Acuña\Marcos-Acuna,DF,Sevilla,es La Liga,28,25.9,1.58,146.4,1.27
Che Adams\Che-Adams,FW,Southampton,eng Premier League,24,29.6,0.84,39.5,2.50
Tyler Adams\Tyler-Adams,DFMF,RB Leipzig,de Bundesliga,21,20.6,0.87,125.9,0.87
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,de Bundesliga,27,5.3,0.57,140.0,3.58
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,eng Premier League,22,32.8,0.24,105.3,0.15
Bobby Adekanye\Bobby-Adekanye,FWMF,Cádiz,es La Liga,21,0.4,2.50,152.5,10.0
Yacine Adli\Yacine-Adli,MF,Bordeaux,fr Ligue 1,20,26.9,2.04,146.0,1.23
Andrea Adorante\Andrea-Adorante,FW,Parma,it Serie A,20,0.1,0.00,0.00,0.00
Adrián\Adrian,GK,Liverpool,eng Premier League,33,3.0,0.00,24.7,0.00
Martin Agirregabiria\Martin-Agirregabiria,DFMF,Alavés,es La Liga,24,17.3,0.23,48.7,0.46
Lucien Agoume\Lucien-Agoume,MF,Spezia,it Serie A,18,8.9,0.45,72.6,0.22
Felix Agu\Felix-Agu,DFFW,Werder Bremen,de Bundesliga,20,7.8,0.51,63.1,1.54
Kevin Agudelo\Kevin-Agudelo,FW,Spezia,it Serie A,21,15.1,2.65,112.1,2.38
Nayef Aguerd\Nayef-Aguerd,DF,Rennes,fr Ligue 1,24,35.0,0.23,154.0,0.11
Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,eng Premier League,32,6.2,1.45,52.6,1.77
Ruben Aguilar\Ruben-Aguilar,DFFW,Monaco,fr Ligue 1,27,24.7,0.89,137.4,1.21
Naouirou Ahamada\Naouirou-Ahamada,MF,Stuttgart,de Bundesliga,18,2.8,3.21,130.7,1.07
Matteo Ahlinvi\Matteo-Ahlinvi,MF,Nîmes,fr Ligue 1,21,10.0,1.80,133.5,2.10
Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,FWDF,Marseille,fr Ligue 1,20,1.4,0.71,35.0,0.71
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Strasbourg,fr Ligue 1,26,23.8,0.97,73.3,1.05
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Monaco,fr Ligue 1,26,0.4,0.00,30.0,2.50
Joseph Aidoo\Joseph-Aidoo,DF,Celta Vigo,es La Liga,24,14.3,0.35,105.9,0.28
Ola Aina\Ola-Aina,DF,Fulham,eng Premier League,23,29.6,0.71,112.7,0.68
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Angers,fr Ligue 1,19,2.1,3.81,174.8,1.90
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,eng Premier League,19,15.6,2.37,131.0,1.41
Semi Ajayi\Semi-Ajayi,DF,West Brom,eng Premier League,26,30.9,0.39,57.0,0.36
Ludovic Ajorque\Ludovic-Ajorque,FW,Strasbourg,fr Ligue 1,26,33.0,0.42,40.2,2.79
Manuel Akanji\Manuel-Akanji,DF,Dortmund,de Bundesliga,25,26.1,0.50,216.9,0.15
Carlos Akapo\Carlos-Akapo,DF,Cádiz,es La Liga,27,9.6,1.04,59.8,0.52
Marley Aké\Marley-Ake,FW,Marseille,fr Ligue 1,19,1.6,2.50,74.4,1.88
Nathan Aké\Nathan-Ake,DF,Manchester City,eng Premier League,25,8.9,0.00,207.5,0.34
Paul Akouokou\Paul-Akouokou,MF,Betis,es La Liga,22,4.2,0.71,83.6,0.24
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,MF,Lazio,it Serie A,27,11.7,1.62,59.4,1.45
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,de Bundesliga,25,13.2,0.53,121.4,0.61
David Alaba\David-Alaba,DFMF,Bayern Munich,de Bundesliga,28,29.7,0.47,198.9,0.74
Sofiane Alakouch\Sofiane-Alakouch,DF,Nîmes,fr Ligue 1,22,16.7,1.32,102.6,0.78
Jony Álamo\Jony-Alamo,MF,Elche,es La Liga,18,0.8,1.25,43.8,0.00
