,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,,,0.00
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,33.3,0.07,-0.06
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,,,0.00
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,33.3,0.11,0.04
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,,,0.00
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,0.0,0.05,-0.07
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,33.3,0.04,0.05
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,21.1,0.11,0.09
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,,,0.0
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,23.1,0.09,-0.09
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,22.2,0.07,0.02
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,40.6,0.20,-0.03
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,de Bundesliga,30,0.7,,,0.00
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,0.0,0.03,-0.06
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,0.0,0.12,-0.03
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,1.1,50.0,0.13,0.64
Marcos Acuña\Marcos-Acuna,DF,Sevilla,es La Liga,28,25.9,16.7,0.06,-0.00
Che Adams\Che-Adams,FW,Southampton,eng Premier League,24,29.6,55.4,0.16,0.01
Tyler Adams\Tyler-Adams,DFMF,RB Leipzig,de Bundesliga,21,20.6,57.1,0.13,0.00
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,de Bundesliga,27,5.3,28.6,0.10,-0.04
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,eng Premier League,22,32.8,25.0,0.05,-0.03
Bobby Adekanye\Bobby-Adekanye,FWMF,Cádiz,es La Liga,21,0.4,0.0,0.17,-0.50
