,,,,,,SCA,SCA,SCA
Player,Pos,Squad,Comp,Age,90s,SCA,Drib,Def
,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,0.1,0.00,0.00,0.00
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,19.7,1.32,0.05,0.00
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,0.2,0.00,0.00,0.00
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,32.1,0.34,0.00,0.00
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,0.7,0.00,0.00,0.00
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,14.7,1.90,0.14,0.14
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,32.9,1.70,0.03,0.15
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,10.1,1.39,0.10,0.00
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,0.0,0,0,0
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14.0,0.50,0.00,0.00
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,13.6,0.15,0.00,0.00
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,11.6,1.55,0.09,0.00
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,de Bundesliga,30,0.7,0.00,0.00,0.00
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,4.9,1.22,0.00,0.00
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,31.3,1.02,0.00,0.06
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,de Bundesliga,22,1.1,0.00,0.00,0.00
Marcos Acuña\Marcos-Acuna,DF,Sevilla,es La Liga,28,25.9,2.24,0.19,0.04
Che Adams\Che-Adams,FW,Southampton,eng Premier League,24,29.6,2.23,0.03,0.10
Tyler Adams\Tyler-Adams,DFMF,RB Leipzig,de Bundesliga,21,20.6,1.31,0.00,0.05
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,de Bundesliga,27,5.3,4.15,0.19,0.00
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,eng Premier League,22,32.8,0.52,0.00,0.00
Bobby Adekanye\Bobby-Adekanye,FWMF,Cádiz,es La Liga,21,0.4,0.00,0.00,0.00
Yacine Adli\Yacine-Adli,MF,Bordeaux,fr Ligue 1,20,26.9,3.42,0.22,0.19
Andrea Adorante\Andrea-Adorante,FW,Parma,it Serie A,20,0.1,0.00,0.00,0.00
Adrián\Adrian,GK,Liverpool,eng Premier League,33,3.0,0.00,0.00,0.00
Martin Agirregabiria\Martin-Agirregabiria,DFMF,Alavés,es La Liga,24,17.3,1.33,0.00,0.06
Lucien Agoume\Lucien-Agoume,MF,Spezia,it Serie A,18,8.9,0.67,0.00,0.00
Felix Agu\Felix-Agu,DFFW,Werder Bremen,de Bundesliga,20,7.8,0.77,0.13,0.00
Kevin Agudelo\Kevin-Agudelo,FW,Spezia,it Serie A,21,15.1,2.32,0.26,0.20
Nayef Aguerd\Nayef-Aguerd,DF,Rennes,fr Ligue 1,24,35.0,0.40,0.00,0.00
Sergio Agüero\Sergio-Aguero,FWMF,Manchester City,eng Premier League,32,6.2,2.58,0.32,0.16
Ruben Aguilar\Ruben-Aguilar,DFFW,Monaco,fr Ligue 1,27,24.7,2.91,0.08,0.00
Naouirou Ahamada\Naouirou-Ahamada,MF,Stuttgart,de Bundesliga,18,2.8,0.71,0.36,0.00
Matteo Ahlinvi\Matteo-Ahlinvi,MF,Nîmes,fr Ligue 1,21,10.0,1.00,0.00,0.20
Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,FWDF,Marseille,fr Ligue 1,20,1.4,0.71,0.00,0.00
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Strasbourg,fr Ligue 1,26,23.8,1.05,0.00,0.04
Jean-Eudes Aholou\Jean-Eudes-Aholou,MF,Monaco,fr Ligue 1,26,0.4,2.50,0.00,0.00
Joseph Aidoo\Joseph-Aidoo,DF,Celta Vigo,es La Liga,24,14.3,0.70,0.07,0.00
Ola Aina\Ola-Aina,DF,Fulham,eng Premier League,23,29.6,0.88,0.00,0.03
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Angers,fr Ligue 1,19,2.1,3.81,0.95,0.00
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,eng Premier League,19,15.6,1.92,0.45,0.00
Semi Ajayi\Semi-Ajayi,DF,West Brom,eng Premier League,26,30.9,0.45,0.06,0.00
Ludovic Ajorque\Ludovic-Ajorque,FW,Strasbourg,fr Ligue 1,26,33.0,2.06,0.03,0.00
Manuel Akanji\Manuel-Akanji,DF,Dortmund,de Bundesliga,25,26.1,0.57,0.00,0.04
Carlos Akapo\Carlos-Akapo,DF,Cádiz,es La Liga,27,9.6,0.52,0.10,0.00
Marley Aké\Marley-Ake,FW,Marseille,fr Ligue 1,19,1.6,0.63,0.00,0.00
Nathan Aké\Nathan-Ake,DF,Manchester City,eng Premier League,25,8.9,0.34,0.00,0.00
Paul Akouokou\Paul-Akouokou,MF,Betis,es La Liga,22,4.2,1.19,0.00,0.24
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,MF,Lazio,it Serie A,27,11.7,1.62,0.09,0.26
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,de Bundesliga,25,13.2,0.38,0.00,0.00
David Alaba\David-Alaba,DFMF,Bayern Munich,de Bundesliga,28,29.7,1.65,0.00,0.03
Sofiane Alakouch\Sofiane-Alakouch,DF,Nîmes,fr Ligue 1,22,16.7,0.96,0.06,0.00
Jony Álamo\Jony-Alamo,MF,Elche,es La Liga,18,0.8,1.25,0.00,0.00
Lucas Alario\Lucas-Alario,FW,Leverkusen,de Bundesliga,27,13.8,1.96,0.14,0.00
Jordi Alba\Jordi-Alba,DF,Barcelona,es La Liga,31,33.6,2.56,0.03,0.03
Luis Alberto\Luis-Alberto,MF,Lazio,it Serie A,27,29.1,4.95,0.14,0.03
Raúl Albiol\Raul-Albiol,DF,Villarreal,es La Liga,34,34.6,0.40,0.00,0.00
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,19.4,3.66,0.21,0.31
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,17.2,1.63,0.12,0.00
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,10.1,0.00,0.00,0.00
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,20.6,2.96,0.15,0.10
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,0.91,0.00,0.00
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,0.49,0.00,0.00
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,0.76,0.00,0.00
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,2.17,0.11,0.00
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,0.00,0.00,0.00
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,3.75,0.26,0.07
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,0.00,0.00,0.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,3.65,0.21,0.00
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,2.50,0.00,0.00
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,1.28,0.00,0.00
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,2.09,0.00,0.00
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,0.00,0.00,0.00
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,0.15,0.00,0.00
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,0.00,0.00,0.00
Allan\Allan,MF,Everton,eng Premier League,29,22.8,1.67,0.18,0.00
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,3.19,0.00,0.14
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,2.33,0.22,0.07
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,3.08,0.00,0.09
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,17.4,0.75,0.00,0.06
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,21.6,0.56,0.00,0.00
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,18.1,0.39,0.00,0.00
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,10.0,2.50,0.10,0.00
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,16.7,1.50,0.00,0.12
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,1.3,1.54,0.00,0.00
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,0.5,0.00,0.00,0.00
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,8.0,0.63,0.00,0.00
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,9.0,1.78,0.11,0.00
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,8.4,2.98,0.36,0.00
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,0.0,0,0,0
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,21.0,3.38,0.19,0.00
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,23.2,0.65,0.00,0.00
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,27.1,1.25,0.04,0.00
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,8.9,1.12,0.00,0.11
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,2.1,0.48,0.00,0.00
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,30.3,0.86,0.00,0.03
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,0.8,0.00,0.00,0.00
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,0.0,0,0,0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,0.0,0,0,0
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,12.5,0.96,0.00,0.08
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2.0,0.00,0.00,0.00
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,32.1,1.71,0.09,0.00
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,1.96,0.14,0.11
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,1.40,0.00,0.00
Ángel\Angel,GK,Granada,es La Liga,18,1.0,0.00,0.00,0.00
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,0.00,0.00,0.00
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,1.50,0.10,0.00
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,3.83,0.25,0.00
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,0.00,0.00,0.00
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,0.00,0.00,0.00
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,2.82,0.14,0.14
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,0.93,0.00,0.10
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,3.33,0.00,0.00
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,2.97,0.37,0.00
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,0.38,0.00,0.00
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,5.10,0.56,0.25
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,4.90,0.05,0.10
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,1.39,0.12,0.06
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,3.33,0.00,0.00
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,1.63,0.09,0.06
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,1.68,0.00,0.11
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,3.01,0.60,0.06
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,0.30,0.00,0.00
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,0.54,0.06,0.06
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,0.96,0.13,0.10
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,0.03,0.00,0.00
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,1.00,0.00,1.00
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,2.12,0.00,0.00
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,2.00,0.00,0.00
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,0.00,0.00,0.00
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,2.67,0.20,0.13
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,3.21,0.07,0.10
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,0.83,0.00,0.00
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,2.67,0.00,0.00
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,0.15,0.00,0.00
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,1.19,0.05,0.00
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,0.80,0.00,0.00
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,1.53,0.24,0.00
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,0.08,0.00,0.00
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,3.41,0.29,0.10
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,0.00,0.00,0.00
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,3.62,0.38,0.00
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,1.20,0.11,0.11
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,0.75,0.00,0.11
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,1.89,0.47,0.00
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,1.74,0.15,0.00
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,0.14,0.00,0.00
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,1.37,0.06,0.00
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,0.00,0.00,0.00
