,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Ismael Aaneba\Ismael-Aaneba,FWDF,Strasbourg,fr Ligue 1,21,2,11,0.00,0.00,0.00,0.00,0.00
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,eng Premier League,29,22,1777,0.00,0.05,0.05,0.06,0.04
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,de Bundesliga,21,2,18,0.00,0.00,0.00,0.00,0.00
Yunis Abdelhamid\Yunis-Abdelhamid,DF,Reims,fr Ligue 1,32,33,2889,0.09,0.00,0.09,0.05,0.01
Sabit Abdulai\Sabit-Abdulai,MF,Getafe,es La Liga,21,3,60,0.00,0.00,0.00,0.00,0.00
Mehdi Abeid\Mehdi-Abeid,MF,Nantes,fr Ligue 1,27,18,1320,0.00,0.00,0.00,0.07,0.05
Laurent Abergel\Laurent-Abergel,MF,Lorient,fr Ligue 1,27,38,2963,0.09,0.03,0.12,0.04,0.04
Charles Abi\Charles-Abi,FWMF,Saint-Étienne,fr Ligue 1,20,24,912,0.30,0.20,0.49,0.21,0.03
Matthis Abline\Matthis-Abline,FW,Rennes,fr Ligue 1,17,1,2,0,0,0.00,0.0,0.0
Pape Abou Cisse\Pape-Abou-Cisse,DF,Saint-Étienne,fr Ligue 1,24,14,1260,0.00,0.00,0.00,0.09,0.01
David Abraham\David-Abraham,DF,Eint Frankfurt,de Bundesliga,34,14,1222,0.07,0.00,0.07,0.05,0.04
Tammy Abraham\Tammy-Abraham,FW,Chelsea,eng Premier League,22,22,1040,0.52,0.09,0.61,0.55,0.08
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,de Bundesliga,30,5,60,0.00,0.00,0.00,0.00,0.00
Gennaro Acampora\Gennaro-Acampora,MFFW,Spezia,it Serie A,26,14,441,0.00,0.00,0.00,0.06,0.00
Francesco Acerbi\Francesco-Acerbi,DF,Lazio,it Serie A,32,32,2813,0.00,0.03,0.03,0.03,0.03
