Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
,,,,,,,,,,,,,,,,,,,,,,,
Adrián\Adrian,GK,Liverpool,eng Premier League,33,3,3,270,3.0,9,3.00,19,10,52.6,1,1,1,1,33.3,0,0,0,0,
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33,33,2970,33.0,32,0.97,111,82,74.8,18,8,7,10,30.3,8,4,1,3,20.0
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12,12,1080,12.0,30,2.50,64,35,54.7,2,2,8,3,25.0,3,1,1,1,50.0
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2,2,180,2.0,5,2.50,7,2,28.6,1,0,1,0,0.0,0,0,0,0,
Ángel\Angel,GK,Granada,es La Liga,18,1,1,90,1.0,2,2.00,7,6,85.7,0,0,1,0,0.0,2,1,1,0,50.0
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36,36,3240,36.0,48,1.33,156,114,73.1,5,13,18,9,25.0,6,6,0,0,0.0
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,7,6,585,6.5,8,1.23,22,15,68.2,2,2,2,2,33.3,1,1,0,0,0.0
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36,36,3240,36.0,41,1.14,114,83,70.2,15,13,8,10,27.8,9,7,1,1,12.5
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37,37,3330,37.0,54,1.46,165,117,71.5,14,7,16,6,16.2,9,7,2,0,22.2
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30,30,2700,30.0,46,1.53,135,93,69.6,5,11,14,5,16.7,9,5,3,1,37.5
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1,1,90,1.0,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31,31,2790,31.0,51,1.65,126,81,64.3,10,8,13,6,19.4,9,6,2,1,25.0
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38,38,3420,38.0,53,1.39,167,119,72.5,15,7,16,9,23.7,7,7,0,0,0.0
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38,38,3420,38.0,58,1.53,134,82,61.9,12,8,18,9,23.7,8,7,1,0,12.5
Dimitry Bertaud\Dimitry-Bertaud,GK,Montpellier,fr Ligue 1,22,9,7,745,8.3,11,1.33,40,29,75.0,4,2,1,3,42.9,1,1,0,0,0.0
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,es La Liga,25,19,19,1637,18.2,27,1.48,60,34,56.7,7,6,6,4,21.1,1,1,0,0,0.0
Elias Bördner\Elias-Bordner,GK,Eint Frankfurt,de Bundesliga,18,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
Yassine Bounou\Yassine-Bounou,GK,Sevilla,es La Liga,29,33,33,2970,33.0,28,0.85,100,78,76.0,21,5,7,15,45.5,6,4,2,0,33.3
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20,20,1800,20.0,25,1.25,69,48,69.6,8,8,4,7,35.0,5,4,1,0,20.0
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1,1,90,1.0,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8,8,720,8.0,5,0.62,17,14,82.4,7,1,0,3,37.5,3,2,1,0,33.3
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,19,18,1665,18.5,30,1.62,89,63,70.8,9,2,7,4,22.2,4,4,0,0,0.0
