,Players,Values,Team
0,Ederson,55000000.0,manchester city
1,Zack Steffen,6600000.0,manchester city
2,Scott Carson,330000.0,manchester city
4,Rúben Dias,82500000.0,manchester city
5,Aymeric Laporte,49500000.0,manchester city
6,Nathan Aké,35200000.0,manchester city
7,John Stones,33000000.0,manchester city
8,Eric García,22000000.0,manchester city
9,Nicolás Otamendi,8800000.0,manchester city
10,Taylor Harwood-Bellis,3300000.0,manchester city
11,Philippe Sandler,2750000.0,manchester city
13,Oleksandr Zinchenko,27500000.0,manchester city
14,Benjamin Mendy,22000000.0,manchester city
15,João Cancelo,60500000.0,manchester city
16,Kyle Walker,30800000.0,manchester city
17,Rodri,77000000.0,manchester city
18,Fernandinho,2200000.0,manchester city
19,Claudio Gomes,495000.0,manchester city
20,Ilkay Gündogan,44000000.0,manchester city
21,Adrián Bernabé,2530000.0,manchester city
22,Tommy Doyle,1100000.0,manchester city
23,Kevin De Bruyne,110000000.0,manchester city
24,Bernardo Silva,77000000.0,manchester city
25,Cole Palmer,550000.0,manchester city
26,Felix Nmecha,495000.0,manchester city
27,Raheem Sterling,99000000.0,manchester city
28,Phil Foden,88000000.0,manchester city
29,Jack Harrison,16500000.0,manchester city
30,Ferran Torres,55000000.0,manchester city
32,Patrick Roberts,2200000.0,manchester city
33,Gabriel Jesus,66000000.0,manchester city
34,Sergio Agüero,19800000.0,manchester city
35,Liam Delap,1100000.0,manchester city
36,Dean Henderson,24200000.0,manchester united
37,David de Gea,19800000.0,manchester united
38,Sergio Romero,1100000.0,manchester united
39,Joel Pereira,330000.0,manchester united
40,Nathan Bishop,330000.0,manchester united
41,Lee Grant,275000.0,manchester united
42,Harry Maguire,49500000.0,manchester united
44,Eric Bailly,16500000.0,manchester united
45,Axel Tuanzebe,8800000.0,manchester united
46,Phil Jones,5500000.0,manchester united
47,Teden Mengi,1650000.0,manchester united
48,Will Fish,550000.0,manchester united
49,Luke Shaw,38500000.0,manchester united
50,Alex Telles,22000000.0,manchester united
51,Aaron Wan-Bissaka,44000000.0,manchester united
52,Diogo Dalot,11000000.0,manchester united
53,Brandon Williams,11000000.0,manchester united
55,Nemanja Matic,8800000.0,manchester united
56,Paul Pogba,66000000.0,manchester united
57,Scott McTominay,38500000.0,manchester united
58,Donny van de Beek,33000000.0,manchester united
59,Fred,24200000.0,manchester united
60,Ethan Galbraith,990000.0,manchester united
63,Juan Mata,4400000.0,manchester united
64,Hannibal Mejbri,3300000.0,manchester united
66,Daniel James,19800000.0,manchester united
67,Shola Shoretire,3300000.0,manchester united
68,Anthony Elanga,880000.0,manchester united
69,Mason Greenwood,55000000.0,manchester united
70,Amad Diallo,19800000.0,manchester united
71,Facundo Pellistri,6600000.0,manchester united
73,Edinson Cavani,6600000.0,manchester united
74,Odion Ighalo,3850000.0,manchester united
75,Alisson,66000000.0,liverpool fc
76,Caoimhin Kelleher,2750000.0,liverpool fc
82,Virgil van Dijk,60500000.0,liverpool fc
83,Joe Gomez,33000000.0,liverpool fc
84,Ozan Kabak,27500000.0,liverpool fc
85,Joel Matip,19800000.0,liverpool fc
86,Nathaniel Phillips,8800000.0,liverpool fc
87,Rhys Williams,5500000.0,liverpool fc
88,Ben Davies,3300000.0,liverpool fc
89,Sepp van den Berg,2750000.0,liverpool fc
91,Andrew Robertson,71500000.0,liverpool fc
92,Konstantinos Tsimikas,8800000.0,liverpool fc
93,Trent Alexander-Arnold,82500000.0,liverpool fc
94,Neco Williams,8800000.0,liverpool fc
95,Fabinho,66000000.0,liverpool fc
96,Leighton Clarkson,165000.0,liverpool fc
97,Naby Keïta,35200000.0,liverpool fc
98,Georginio Wijnaldum,33000000.0,liverpool fc
100,Curtis Jones,33000000.0,liverpool fc
101,Jordan Henderson,22000000.0,liverpool fc
102,Alex Oxlade-Chamberlain,19800000.0,liverpool fc
103,Marko Grujic,16500000.0,liverpool fc
104,James Milner,3300000.0,liverpool fc
106,Ben Woodburn,2200000.0,liverpool fc
107,Sadio Mané,93500000.0,liverpool fc
108,Diogo Jota,49500000.0,liverpool fc
109,Takumi Minamino,13200000.0,liverpool fc
110,Mohamed Salah,110000000.0,liverpool fc
111,Harry Wilson,18700000.0,liverpool fc
112,Harvey Elliott,16500000.0,liverpool fc
113,Xherdan Shaqiri,13200000.0,liverpool fc
114,Sheyi Ojo,3300000.0,liverpool fc
115,Roberto Firmino,55000000.0,liverpool fc
116,Rhian Brewster,13200000.0,liverpool fc
117,Divock Origi,13200000.0,liverpool fc
119,Kepa,14300000.0,chelsea fc
120,Jamal Blackman,660000.0,chelsea fc
121,Nathan Baxter,330000.0,chelsea fc
122,Willy Caballero,275000.0,chelsea fc
123,Karlo Ziger,165000.0,chelsea fc
124,Kurt Zouma,35200000.0,chelsea fc
125,Andreas Christensen,33000000.0,chelsea fc
126,Fikayo Tomori,30800000.0,chelsea fc
127,Antonio Rüdiger,30800000.0,chelsea fc
128,Ethan Ampadu,16500000.0,chelsea fc
129,Thiago Silva,3300000.0,chelsea fc
130,Jake Clarke-Salter,2200000.0,chelsea fc
131,Ben Chilwell,49500000.0,chelsea fc
132,Marcos Alonso,13200000.0,chelsea fc
133,Emerson,13200000.0,chelsea fc
134,Reece James,44000000.0,chelsea fc
135,César Azpilicueta,14300000.0,chelsea fc
136,N'Golo Kanté,60500000.0,chelsea fc
137,Jorginho,44000000.0,chelsea fc
138,Mateo Kovacic,49500000.0,chelsea fc
139,Ross Barkley,22000000.0,chelsea fc
140,Ruben Loftus-Cheek,19800000.0,chelsea fc
141,Conor Gallagher,16500000.0,chelsea fc
142,Billy Gilmour,11000000.0,chelsea fc
146,Kai Havertz,77000000.0,chelsea fc
147,Hakim Ziyech,41800000.0,chelsea fc
148,Faustino Anjorin,2530000.0,chelsea fc
149,Charly Musonda Jr.,1100000.0,chelsea fc
152,Izzy Brown,1760000.0,chelsea fc
153,Timo Werner,71500000.0,chelsea fc
154,Tammy Abraham,41800000.0,chelsea fc
155,Michy Batshuayi,11000000.0,chelsea fc
156,Olivier Giroud,4400000.0,chelsea fc
157,Kasper Schmeichel,6600000.0,leicester city
158,Danny Ward,6600000.0,leicester city
159,Eldin Jakupovic,330000.0,leicester city
161,Caglar Söyüncü,49500000.0,leicester city
162,Wesley Fofana,44000000.0,leicester city
163,Jonny Evans,7700000.0,leicester city
164,Josh Knight,660000.0,leicester city
165,Wes Morgan,440000.0,leicester city
169,Christian Fuchs,880000.0,leicester city
171,Ricardo Pereira,33000000.0,leicester city
172,Timothy Castagne,30800000.0,leicester city
173,James Justin,18700000.0,leicester city
174,Vontae Daley-Campbell,220000.0,leicester city
175,Wilfred Ndidi,66000000.0,leicester city
176,Nampalys Mendy,8800000.0,leicester city
177,Daniel Amartey,5500000.0,leicester city
178,Kiernan Dewsbury-Hall,2200000.0,leicester city
179,Youri Tielemans,60500000.0,leicester city
180,Dennis Praet,19800000.0,leicester city
181,Hamza Choudhury,7700000.0,leicester city
182,Matty James,1100000.0,leicester city
183,Sidnei Tavares,330000.0,leicester city
184,Thakgalo Leshabela,110000.0,leicester city
185,Marc Albrighton,4400000.0,leicester city
186,Harvey Barnes,38500000.0,leicester city
187,James Maddison,60500000.0,leicester city
190,Demarai Gray,8800000.0,leicester city
191,Cengiz Ünder,19800000.0,leicester city
193,Ayoze Pérez,19800000.0,leicester city
194,Kelechi Iheanacho,22000000.0,leicester city
195,Jamie Vardy,7700000.0,leicester city
196,Islam Slimani,3300000.0,leicester city
197,Lukasz Fabianski,1650000.0,west ham united
198,Darren Randolph,1650000.0,west ham united
199,Nathan Trott,275000.0,west ham united
200,David Martin,275000.0,west ham united
201,Issa Diop,19800000.0,west ham united
202,Fabián Balbuena,5500000.0,west ham united
203,Craig Dawson,3300000.0,west ham united
204,Angelo Ogbonna,2750000.0,west ham united
205,Winston Reid,1650000.0,west ham united
206,Frederik Alves,1100000.0,west ham united
207,Jamal Baptiste,220000.0,west ham united
209,Arthur Masuaku,7700000.0,west ham united
210,Aaron Cresswell,5500000.0,west ham united
211,Emmanuel Longelo,165000.0,west ham united
212,Vladimir Coufal,13200000.0,west ham united
213,Ben Johnson,3300000.0,west ham united
214,Ryan Fredericks,2750000.0,west ham united
215,Harrison Ashby,330000.0,west ham united
216,Declan Rice,71500000.0,west ham united
218,Conor Coventry,220000.0,west ham united
219,Josh Cullen,3300000.0,west ham united
221,Mark Noble,2200000.0,west ham united
222,Jesse Lingard,24200000.0,west ham united
223,Pablo Fornals,19800000.0,west ham united
224,Manuel Lanzini,11000000.0,west ham united
226,Felipe Anderson,11000000.0,west ham united
229,Andriy Yarmolenko,4400000.0,west ham united
230,Robert Snodgrass,1650000.0,west ham united
231,Xande Silva,880000.0,west ham united
232,Sébastien Haller,29700000.0,west ham united
233,Michail Antonio,13200000.0,west ham united
234,Ademipo Odubeko,275000.0,west ham united
237,Paulo Gazzaniga,3300000.0,tottenham hotspur
238,Joe Hart,2200000.0,tottenham hotspur
239,Alfie Whiteman,1100000.0,tottenham hotspur
240,Brandon Austin,275000.0,tottenham hotspur
241,Davinson Sánchez,35200000.0,tottenham hotspur
242,Eric Dier,24200000.0,tottenham hotspur
243,Toby Alderweireld,12100000.0,tottenham hotspur
245,Japhet Tanganga,8800000.0,tottenham hotspur
246,Cameron Carter-Vickers,2200000.0,tottenham hotspur
247,Sergio Reguilón,27500000.0,tottenham hotspur
249,Ben Davies,17600000.0,tottenham hotspur
250,Danny Rose,3300000.0,tottenham hotspur
252,Serge Aurier,22000000.0,tottenham hotspur
253,Matt Doherty,17600000.0,tottenham hotspur
254,Marcel Lavinier,220000.0,tottenham hotspur
256,Oliver Skipp,11000000.0,tottenham hotspur
257,Harvey White,660000.0,tottenham hotspur
259,Tanguy Ndombélé,55000000.0,tottenham hotspur
260,Pierre-Emile Höjbjerg,38500000.0,tottenham hotspur
262,Gedson Fernandes,13750000.0,tottenham hotspur
263,Moussa Sissoko,11000000.0,tottenham hotspur
264,Alfie Devine,550000.0,tottenham hotspur
265,Dele Alli,33000000.0,tottenham hotspur
266,Nile John,220000.0,tottenham hotspur
267,Heung-min Son,93500000.0,tottenham hotspur
268,Steven Bergwijn,24200000.0,tottenham hotspur
269,Lucas Moura,27500000.0,tottenham hotspur
270,Gareth Bale,19800000.0,tottenham hotspur
271,Erik Lamela,17600000.0,tottenham hotspur
272,Jack Clarke,5500000.0,tottenham hotspur
274,Harry Kane,132000000.0,tottenham hotspur
275,Carlos Vinícius,19800000.0,tottenham hotspur
