,Players,Values,Team
0,Manuel Neuer,$19.80m  ,bayern munich
1,Alexander Nübel,$6.60m  ,bayern munich
2,Sven Ulreich,$990Th.  ,bayern munich
3,Ron-Thorben Hoffmann,$660Th.  ,bayern munich
4,Lukas Schneller,$220Th.  ,bayern munich
5,David Alaba,$60.50m  ,bayern munich
6,Niklas Süle,$38.50m  ,bayern munich
7,Tanguy Nianzou,$12.10m  ,bayern munich
8,Jérôme Boateng,$9.35m  ,bayern munich
9,Chris Richards,$8.25m  ,bayern munich
10,Bright Arrey-Mbi,$1.10m  ,bayern munich
11,Kilian Senkbeil,$220Th.  ,bayern munich
12,Alphonso Davies,$77.00m  ,bayern munich
13,Lucas Hernández,$49.50m  ,bayern munich
14,Rémy Vita,$1.10m  ,bayern munich
15,Alexander Lungwitz,$275Th.  ,bayern munich
16,Benjamin Pavard,$38.50m  ,bayern munich
17,Bouna Sarr,$4.40m  ,bayern munich
18,Josip Stanisic,$440Th.  ,bayern munich
19,Joshua Kimmich,$99.00m  ,bayern munich
20,Marc Roca,$11.00m  ,bayern munich
21,Javi Martínez,$5.50m  ,bayern munich
22,Adrian Fein,$4.40m  ,bayern munich
23,Angelo Stiller,$2.75m  ,bayern munich
24,Leon Goretzka,$77.00m  ,bayern munich
25,Corentin Tolisso,$22.00m  ,bayern munich
26,Michaël Cuisance,$7.70m  ,bayern munich
27,Tiago Dantas,$3.30m  ,bayern munich
28,Maximilian Zaiser,$248Th.  ,bayern munich
29,Jamal Musiala,$41.80m  ,bayern munich
30,Christopher Scott,$1.32m  ,bayern munich
31,Daniels Ontuzans,$165Th.  ,bayern munich
32,Kingsley Coman,$71.50m  ,bayern munich
33,Douglas Costa,$6.60m  ,bayern munich
34,Serge Gnabry,$77.00m  ,bayern munich
35,Leroy Sané,$66.00m  ,bayern munich
36,Thomas Müller,$33.00m  ,bayern munich
37,Leon Dajaku,$1.98m  ,bayern munich
38,Armindo Sieb,$1.65m  ,bayern munich
39,Robert Lewandowski,$66.00m  ,bayern munich
40,Joshua Zirkzee,$8.80m  ,bayern munich
41,Eric Maxim Choupo-Moting,$3.85m  ,bayern munich
42,Fiete Arp,$880Th.  ,bayern munich
