,Players,Values,Team
0,Jan Oblak,$77.00m  ,atletico de madrid
1,Ivo Grbic,$3.85m  ,atletico de madrid
2,Miguel San Román,$770Th.  ,atletico de madrid
3,José María Giménez,$66.00m  ,atletico de madrid
4,Mario Hermoso,$38.50m  ,atletico de madrid
5,Stefan Savic,$27.50m  ,atletico de madrid
6,Felipe,$13.20m  ,atletico de madrid
7,Nehuén Pérez,$4.40m  ,atletico de madrid
8,Álvaro García,$220Th.  ,atletico de madrid
9,Adrián Corral,$220Th.  ,atletico de madrid
10,Renan Lodi,$27.50m  ,atletico de madrid
11,Manu Sánchez,$8.80m  ,atletico de madrid
12,Kieran Trippier,$22.00m  ,atletico de madrid
13,Sime Vrsaljko,$5.50m  ,atletico de madrid
14,Ricard Sánchez,$1.65m  ,atletico de madrid
15,Thomas Partey,$44.00m  ,atletico de madrid
16,Lucas Torreira,$22.00m  ,atletico de madrid
17,Koke,$66.00m  ,atletico de madrid
18,Saúl Ñíguez,$44.00m  ,atletico de madrid
19,Geoffrey Kondogbia,$16.50m  ,atletico de madrid
20,Héctor Herrera,$7.70m  ,atletico de madrid
21,Juan Manuel Sanabria,$880Th.  ,atletico de madrid
22,Toni Moya,$440Th.  ,atletico de madrid
23,Josep Calavera,$275Th.  ,atletico de madrid
24,Óscar Castro,$55Th.  ,atletico de madrid
25,Marcos Llorente,$88.00m  ,atletico de madrid
26,Thomas Lemar,$27.50m  ,atletico de madrid
27,Mario Soriano,$550Th.  ,atletico de madrid
28,Yannick Carrasco,$44.00m  ,atletico de madrid
29,Vitolo,$4.40m  ,atletico de madrid
30,Víctor Mollejo,$3.30m  ,atletico de madrid
31,Germán Valera,$2.75m  ,atletico de madrid
32,João Félix,$88.00m  ,atletico de madrid
33,Ángel Correa,$44.00m  ,atletico de madrid
34,Moussa Dembélé,$22.00m  ,atletico de madrid
35,Luis Suárez,$16.50m  ,atletico de madrid
36,Diego Costa,$6.60m  ,atletico de madrid
37,Sergio Camello,$2.53m  ,atletico de madrid
38,Ivan Saponjic,$1.32m  ,atletico de madrid
39,Thibaut Courtois,$66.00m  ,real madrid
40,Andriy Lunin,$3.30m  ,real madrid
41,Diego Altube,$550Th.  ,real madrid
42,Luis López,$165Th.  ,real madrid
43,Lucas Cañizares,0,real madrid
