,Players,Values,Team
0,Mike Maignan,$27.50m  ,losc lille
1,Orestis Karnezis,$550Th.  ,losc lille
2,Lucas Chevalier,$550Th.  ,losc lille
3,Sven Botman,$30.80m  ,losc lille
4,Tiago Djaló,$5.50m  ,losc lille
5,Adama Soumaoro,$4.40m  ,losc lille
6,José Fonte,$1.65m  ,losc lille
7,Nassim Innocenti,$275Th.  ,losc lille
8,Reinildo Mandava,$9.90m  ,losc lille
9,Domagoj Bradaric,$6.60m  ,losc lille
10,Zeki Celik,$22.00m  ,losc lille
11,Jérémy Pied,$1.32m  ,losc lille
12,Ismail Bouleghcha,$275Th.  ,losc lille
13,Rocco Ascone,$275Th.  ,losc lille
14,Boubakary Soumaré,$30.80m  ,losc lille
15,Benjamin André,$16.50m  ,losc lille
16,Cheikh Niasse,$880Th.  ,losc lille
17,Eugenio Pizzuto,$330Th.  ,losc lille
18,Renato Sanches,$33.00m  ,losc lille
19,Xeka,$8.80m  ,losc lille
20,Mustafa Kapi,$330Th.  ,losc lille
21,Aguibou Camara,$330Th.  ,losc lille
22,Jonathan Bamba,$27.50m  ,losc lille
23,Jonathan Ikoné,$33.00m  ,losc lille
24,Luiz Araújo,$11.00m  ,losc lille
25,Isaac Lihadji,$4.40m  ,losc lille
26,Yusuf Yazici,$22.00m  ,losc lille
27,Jonathan David,$38.50m  ,losc lille
28,Timothy Weah,$13.20m  ,losc lille
29,Burak Yilmaz,$3.08m  ,losc lille
30,Mamadou Usman Simbakoli,$275Th.  ,losc lille
31,Bica,0,losc lille
32,Keylor Navas,$13.20m  ,paris saint germain
33,Sergio Rico,$7.70m  ,paris saint germain
34,Marcin Bulka,$880Th.  ,paris saint germain
35,Alexandre Letellier,$440Th.  ,paris saint germain
36,Garissone Innocent,$330Th.  ,paris saint germain
37,Denis Franchi,$275Th.  ,paris saint germain
38,Mathyas Randriamamy,$165Th.  ,paris saint germain
39,Yanis Saidani,$165Th.  ,paris saint germain
40,Marquinhos,$82.50m  ,paris saint germain
41,Presnel Kimpembe,$44.00m  ,paris saint germain
42,Thilo Kehrer,$27.50m  ,paris saint germain
43,Abdou Diallo,$27.50m  ,paris saint germain
44,Timothée Pembélé,$4.40m  ,paris saint germain
45,Juan Bernat,$17.60m  ,paris saint germain
46,Layvin Kurzawa,$13.20m  ,paris saint germain
47,Mitchel Bakker,$11.00m  ,paris saint germain
48,Alessandro Florenzi,$14.30m  ,paris saint germain
49,Colin Dagba,$13.20m  ,paris saint germain
50,Leandro Paredes,$22.00m  ,paris saint germain
51,Danilo Pereira,$22.00m  ,paris saint germain
52,Idrissa Gueye,$16.50m  ,paris saint germain
53,Maxen Kapo,$275Th.  ,paris saint germain
54,Abdoulaye Kamara,0,paris saint germain
55,Marco Verratti,$60.50m  ,paris saint germain
56,Rafinha,$16.50m  ,paris saint germain
57,Ander Herrera,$14.30m  ,paris saint germain
58,Kays Ruiz-Atil,$3.30m  ,paris saint germain
59,Xavi Simons,$550Th.  ,paris saint germain
60,Bandiougou Fadiga,$1.32m  ,paris saint germain
61,Edouard Michut,$550Th.  ,paris saint germain
62,Ismaël Gharbi,0,paris saint germain
63,Neymar,$110.00m  ,paris saint germain
64,Julian Draxler,$22.00m  ,paris saint germain
65,Jesé,$1.65m  ,paris saint germain
66,Pablo Sarabia,$24.20m  ,paris saint germain
67,Ángel Di María,$22.00m  ,paris saint germain
68,Kylian Mbappé,$176.00m  ,paris saint germain
69,Mauro Icardi,$44.00m  ,paris saint germain
70,Moise Kean,$38.50m  ,paris saint germain
71,Arnaud Kalimuendo,$11.00m  ,paris saint germain
72,Kenny Nagera,0,paris saint germain
73,Benjamin Lecomte,$11.00m  ,as monaco
74,Radoslaw Majecki,$4.40m  ,as monaco
75,Vito Mannone,$880Th.  ,as monaco
76,Benoît Badiashile,$30.80m  ,as monaco
77,Axel Disasi,$19.80m  ,as monaco
78,Guillermo Maripán,$13.20m  ,as monaco
79,Strahinja Pavlovic,$8.80m  ,as monaco
80,Chrislain Matsima,$6.60m  ,as monaco
81,Caio Henrique,$13.20m  ,as monaco
82,Fodé Ballo-Touré,$7.15m  ,as monaco
83,Julien Serrano,$825Th.  ,as monaco
84,Ruben Aguilar,$13.20m  ,as monaco
85,Djibril Sidibé,$8.80m  ,as monaco
86,Giulian Biancone,$1.43m  ,as monaco
87,Aurélien Tchouaméni,$33.00m  ,as monaco
88,Florentino,$11.00m  ,as monaco
89,Jean-Eudes Aholou,$4.40m  ,as monaco
90,Youssouf Fofana,$17.60m  ,as monaco
91,Eliot Matazo,$6.60m  ,as monaco
92,Cesc Fàbregas,$5.50m  ,as monaco
93,Youssef Aït Bennasser,$2.20m  ,as monaco
94,Enzo Millot,$1.10m  ,as monaco
95,Aleksandr Golovin,$30.80m  ,as monaco
96,Sofiane Diop,$17.60m  ,as monaco
97,Henry Onyekuru,$7.70m  ,as monaco
98,Willem Geubbels,$6.60m  ,as monaco
99,Valentin Salatiel Decarpentrie,0,as monaco
100,Gelson Martins,$19.80m  ,as monaco
101,Krépin Diatta,$19.80m  ,as monaco
102,Wissam Ben Yedder,$38.50m  ,as monaco
103,Kevin Volland,$33.00m  ,as monaco
104,Pietro Pellegri,$6.60m  ,as monaco
105,Stevan Jovetic,$5.50m  ,as monaco
106,Anthony Lopes,$15.40m  ,olympique lyon
107,Anthony Racioppi,$1.65m  ,olympique lyon
108,Ciprian Tatarusanu,$660Th.  ,olympique lyon
109,Julian Pollersbeck,$660Th.  ,olympique lyon
110,Malcolm Barcola,$275Th.  ,olympique lyon
111,Jason Denayer,$27.50m  ,olympique lyon
112,Joachim Andersen,$24.20m  ,olympique lyon
113,Sinaly Diomandé,$7.70m  ,olympique lyon
114,Marcelo,$3.30m  ,olympique lyon
115,Cenk Özkacar,$1.32m  ,olympique lyon
116,Djamel Eddine Benlamri,$1.21m  ,olympique lyon
117,Abdoulaye Ndiaye,$55Th.  ,olympique lyon
118,Castello Lukeba,0,olympique lyon
119,Maxwel Cornet,$13.20m  ,olympique lyon
120,Melvin Bard,$5.50m  ,olympique lyon
121,Marçal,$1.98m  ,olympique lyon
122,Youssouf Koné,$1.76m  ,olympique lyon
123,Léo Dubois,$17.60m  ,olympique lyon
124,Mattia De Sciglio,$8.25m  ,olympique lyon
125,Kenny Tete,$5.50m  ,olympique lyon
126,Malo Gusto,$550Th.  ,olympique lyon
127,Thiago Mendes,$16.50m  ,olympique lyon
128,Houssem Aouar,$46.20m  ,olympique lyon
129,Bruno Guimarães,$33.00m  ,olympique lyon
130,Maxence Caqueret,$18.70m  ,olympique lyon
131,Jean Lucas,$4.95m  ,olympique lyon
132,Camilo,$1.43m  ,olympique lyon
133,Florent Da Silva,$550Th.  ,olympique lyon
134,Lucas Paquetá,$33.00m  ,olympique lyon
135,Rayan Cherki,$29.70m  ,olympique lyon
136,Jeff Reine-Adélaïde,$24.20m  ,olympique lyon
137,Karl Toko Ekambi,$16.50m  ,olympique lyon
138,Bertrand Traoré,$22.00m  ,olympique lyon
139,Tino Kadewere,$14.30m  ,olympique lyon
140,Yahya Soumaré,$440Th.  ,olympique lyon
141,Memphis Depay,$49.50m  ,olympique lyon
142,Moussa Dembélé,$22.00m  ,olympique lyon
143,Islam Slimani,$3.30m  ,olympique lyon
144,Habib Keïta,0,olympique lyon
145,Sekou Lega,0,olympique lyon
146,Steve Mandanda,$2.20m  ,olympique marseille
147,Yohann Pelé,$275Th.  ,olympique marseille
148,Ahmadou Dia,$220Th.  ,olympique marseille
149,Fabio Vanni,$165Th.  ,olympique marseille
150,Simon Ngapandouetnbu,$165Th.  ,olympique marseille
151,Duje Caleta-Car,$27.50m  ,olympique marseille
152,Leonardo Balerdi,$8.80m  ,olympique marseille
153,Álvaro González,$7.70m  ,olympique marseille
154,Lucas Perrin,$1.98m  ,olympique marseille
155,Aaron Kamardin,$165Th.  ,olympique marseille
156,Jordan Amavi,$9.90m  ,olympique marseille
157,Christopher Rocchia,$1.10m  ,olympique marseille
158,Yuto Nagatomo,$880Th.  ,olympique marseille
159,Pol Lirola,$9.90m  ,olympique marseille
160,Bouna Sarr,$4.40m  ,olympique marseille
161,Hiroki Sakai,$4.40m  ,olympique marseille
162,Richecard Richard,$165Th.  ,olympique marseille
163,Boubacar Kamara,$40.70m  ,olympique marseille
164,Pape Gueye,$11.00m  ,olympique marseille
165,Alexandre Phliponeau,$275Th.  ,olympique marseille
166,Oussama Targhalline,$220Th.  ,olympique marseille
167,Nassim Ahmed,$165Th.  ,olympique marseille
168,Paolo Sciortino,0,olympique marseille
169,Morgan Sanson,$17.60m  ,olympique marseille
170,Valentin Rongier,$15.40m  ,olympique marseille
171,Maxime López,$11.00m  ,olympique marseille
172,Michaël Cuisance,$7.70m  ,olympique marseille
173,Kevin Strootman,$5.50m  ,olympique marseille
174,Olivier Ntcham,$3.30m  ,olympique marseille
175,Ugo Bertelli,$330Th.  ,olympique marseille
176,Cheick Souaré,$165Th.  ,olympique marseille
177,Franco Tongya,$2.75m  ,olympique marseille
178,Saîf-Eddine Khaoui,$1.98m  ,olympique marseille
179,Jorès Rahou,$220Th.  ,olympique marseille
180,Luis Henrique,$8.80m  ,olympique marseille
181,Nemanja Radonjic,$6.60m  ,olympique marseille
182,Dimitri Payet,$5.50m  ,olympique marseille
183,Marley Aké,$2.75m  ,olympique marseille
184,Florian Thauvin,$18.70m  ,olympique marseille
185,Arkadiusz Milik,$24.20m  ,olympique marseille
186,Darío Benedetto,$7.70m  ,olympique marseille
187,Valère Germain,$3.30m  ,olympique marseille
