,Players,Values,Team
0,Ederson,$55.00m  ,manchester city
1,Zack Steffen,$6.60m  ,manchester city
2,Scott Carson,$330Th.  ,manchester city
3,James Trafford,0,manchester city
4,Rúben Dias,$82.50m  ,manchester city
5,Aymeric Laporte,$49.50m  ,manchester city
6,Nathan Aké,$35.20m  ,manchester city
7,John Stones,$33.00m  ,manchester city
8,Eric García,$22.00m  ,manchester city
9,Nicolás Otamendi,$8.80m  ,manchester city
10,Taylor Harwood-Bellis,$3.30m  ,manchester city
11,Philippe Sandler,$2.75m  ,manchester city
12,Luke Mbete,0,manchester city
13,Oleksandr Zinchenko,$27.50m  ,manchester city
14,Benjamin Mendy,$22.00m  ,manchester city
15,João Cancelo,$60.50m  ,manchester city
16,Kyle Walker,$30.80m  ,manchester city
17,Rodri,$77.00m  ,manchester city
18,Fernandinho,$2.20m  ,manchester city
19,Claudio Gomes,$495Th.  ,manchester city
20,Ilkay Gündogan,$44.00m  ,manchester city
21,Adrián Bernabé,$2.53m  ,manchester city
22,Tommy Doyle,$1.10m  ,manchester city
23,Kevin De Bruyne,$110.00m  ,manchester city
24,Bernardo Silva,$77.00m  ,manchester city
25,Cole Palmer,$550Th.  ,manchester city
26,Felix Nmecha,$495Th.  ,manchester city
27,Raheem Sterling,$99.00m  ,manchester city
28,Phil Foden,$88.00m  ,manchester city
29,Jack Harrison,$16.50m  ,manchester city
30,Ferran Torres,$55.00m  ,manchester city
31,Riyad Mahrez,$46.20m  ,manchester city
32,Patrick Roberts,$2.20m  ,manchester city
33,Gabriel Jesus,$66.00m  ,manchester city
34,Sergio Agüero,$19.80m  ,manchester city
35,Liam Delap,$1.10m  ,manchester city
36,Dean Henderson,$24.20m  ,manchester united
37,David de Gea,$19.80m  ,manchester united
38,Sergio Romero,$1.10m  ,manchester united
39,Joel Pereira,$330Th.  ,manchester united
40,Nathan Bishop,$330Th.  ,manchester united
41,Lee Grant,$275Th.  ,manchester united
42,Harry Maguire,$49.50m  ,manchester united
43,Victor Lindelöf,$26.40m  ,manchester united
44,Eric Bailly,$16.50m  ,manchester united
45,Axel Tuanzebe,$8.80m  ,manchester united
46,Phil Jones,$5.50m  ,manchester united
47,Teden Mengi,$1.65m  ,manchester united
48,Will Fish,$550Th.  ,manchester united
49,Luke Shaw,$38.50m  ,manchester united
50,Alex Telles,$22.00m  ,manchester united
51,Aaron Wan-Bissaka,$44.00m  ,manchester united
52,Diogo Dalot,$11.00m  ,manchester united
53,Brandon Williams,$11.00m  ,manchester united
54,Timothy Fosu-Mensah,$4.40m  ,manchester united
55,Nemanja Matic,$8.80m  ,manchester united
56,Paul Pogba,$66.00m  ,manchester united
57,Scott McTominay,$38.50m  ,manchester united
58,Donny van de Beek,$33.00m  ,manchester united
59,Fred,$24.20m  ,manchester united
60,Ethan Galbraith,$990Th.  ,manchester united
61,Bruno Fernandes,$99.00m  ,manchester united
62,Jesse Lingard,$24.20m  ,manchester united
63,Juan Mata,$4.40m  ,manchester united
64,Hannibal Mejbri,$3.30m  ,manchester united
65,Marcus Rashford,$93.50m  ,manchester united
66,Daniel James,$19.80m  ,manchester united
67,Shola Shoretire,$3.30m  ,manchester united
68,Anthony Elanga,$880Th.  ,manchester united
69,Mason Greenwood,$55.00m  ,manchester united
70,Amad Diallo,$19.80m  ,manchester united
71,Facundo Pellistri,$6.60m  ,manchester united
72,Anthony Martial,$49.50m  ,manchester united
73,Edinson Cavani,$6.60m  ,manchester united
74,Odion Ighalo,$3.85m  ,manchester united
75,Alisson,$66.00m  ,liverpool fc
76,Caoimhin Kelleher,$2.75m  ,liverpool fc
77,Adrián,$1.10m  ,liverpool fc
78,Vitezslav Jaros,0,liverpool fc
79,Liam Hughes,0,liverpool fc
