,Players,Values,Team
0,Ionut Radu,$6.60m  ,inter milan
1,Samir Handanovic,$2.75m  ,inter milan
2,Filip Stankovic,$550Th.  ,inter milan
3,Daniele Padelli,$440Th.  ,inter milan
4,Milan Skriniar,$66.00m  ,inter milan
5,Alessandro Bastoni,$66.00m  ,inter milan
6,Stefan de Vrij,$55.00m  ,inter milan
7,Lorenzo Pirola,$2.75m  ,inter milan
8,Andrea Ranocchia,$1.10m  ,inter milan
9,Lorenzo Moretti,$138Th.  ,inter milan
10,Dalbert,$4.40m  ,inter milan
11,Aleksandar Kolarov,$1.65m  ,inter milan
12,Franco Carboni,0,inter milan
13,Matteo Darmian,$7.70m  ,inter milan
14,Danilo D'Ambrosio,$5.50m  ,inter milan
15,Marcelo Brozovic,$44.00m  ,inter milan
16,David Wieser,$165Th.  ,inter milan
17,Nicolò Barella,$71.50m  ,inter milan
18,Roberto Gagliardini,$16.50m  ,inter milan
19,Stefano Sensi,$14.30m  ,inter milan
20,Matías Vecino,$8.80m  ,inter milan
21,Arturo Vidal,$3.85m  ,inter milan
22,Niccolò Squizzato,$165Th.  ,inter milan
23,Riccardo Boscolo Chio,$110Th.  ,inter milan
24,Achraf Hakimi,$66.00m  ,inter milan
25,Ivan Perisic,$11.00m  ,inter milan
26,Ashley Young,$1.10m  ,inter milan
27,Franco Vezzoni,$440Th.  ,inter milan
28,Christian Eriksen,$44.00m  ,inter milan
29,Radja Nainggolan,$5.50m  ,inter milan
30,Romelu Lukaku,$110.00m  ,inter milan
31,Lautaro Martínez,$88.00m  ,inter milan
32,Andrea Pinamonti,$13.20m  ,inter milan
33,Alexis Sánchez,$8.25m  ,inter milan
34,Martín Satriano,$1.10m  ,inter milan
35,Nicholas Bonfanti,$275Th.  ,inter milan
36,Gianluigi Donnarumma,$66.00m  ,ac milan
37,Ciprian Tatarusanu,$660Th.  ,ac milan
38,Antonio Donnarumma,$330Th.  ,ac milan
39,Andreas Jungdal,$165Th.  ,ac milan
40,Leonardo Moleri,$28Th.  ,ac milan
41,Fikayo Tomori,$30.80m  ,ac milan
42,Alessio Romagnoli,$27.50m  ,ac milan
43,Simon Kjaer,$11.00m  ,ac milan
44,Matteo Gabbia,$9.35m  ,ac milan
45,Léo Duarte,$2.42m  ,ac milan
46,Mateo Musacchio,$2.20m  ,ac milan
47,Nikolaos Michelis,$440Th.  ,ac milan
48,Theo Hernández,$55.00m  ,ac milan
49,Diego Laxalt,$3.52m  ,ac milan
50,Davide Calabria,$27.50m  ,ac milan
51,Diogo Dalot,$11.00m  ,ac milan
52,Pierre Kalulu,$7.70m  ,ac milan
53,Andrea Conti,$4.95m  ,ac milan
54,Luca Stanga,$165Th.  ,ac milan
55,Ismaël Bennacer,$41.80m  ,ac milan
56,Sandro Tonali,$29.70m  ,ac milan
57,Franck Kessié,$60.50m  ,ac milan
58,Rade Krunic,$6.60m  ,ac milan
59,Soualiho Meïté,$5.50m  ,ac milan
60,Enrico Di Gesù,$220Th.  ,ac milan
61,Marco Romano Frigerio,$138Th.  ,ac milan
62,Antonio Mionic,$83Th.  ,ac milan
63,Hakan Calhanoglu,$38.50m  ,ac milan
64,Lucas Paquetá,$33.00m  ,ac milan
65,Brahim Díaz,$16.50m  ,ac milan
66,Daniel Maldini,$880Th.  ,ac milan
67,Giacomo Olzer,$165Th.  ,ac milan
68,Ante Rebic,$35.20m  ,ac milan
69,Jens Petter Hauge,$10.45m  ,ac milan
70,Alexis Saelemaekers,$19.80m  ,ac milan
71,Samu Castillejo,$8.80m  ,ac milan
72,Rafael Leão,$27.50m  ,ac milan
73,Zlatan Ibrahimovic,$4.40m  ,ac milan
74,Lorenzo Colombo,$1.10m  ,ac milan
75,Mario Mandzukic,$880Th.  ,ac milan
76,Riccardo Tonin,$110Th.  ,ac milan
77,Emil Roback,0,ac milan
78,Pierluigi Gollini,$18.70m  ,atalanta bc
79,Marco Carnesecchi,$2.75m  ,atalanta bc
80,Marco Sportiello,$2.20m  ,atalanta bc
81,Boris Radunović,$330Th.  ,atalanta bc
82,Ludovico Gelmi,$110Th.  ,atalanta bc
83,Francesco Rossi,$110Th.  ,atalanta bc
84,Cristian Romero,$33.00m  ,atalanta bc
85,Berat Djimsiti,$24.20m  ,atalanta bc
86,Rafael Tolói,$16.50m  ,atalanta bc
87,José Luis Palomino,$11.00m  ,atalanta bc
88,Mattia Caldara,$5.50m  ,atalanta bc
89,Bosko Sutalo,$3.85m  ,atalanta bc
90,Giorgio Scalvini,0,atalanta bc
91,Robin Gosens,$38.50m  ,atalanta bc
92,Johan Mojica,$2.20m  ,atalanta bc
93,Matteo Ruggeri,$2.20m  ,atalanta bc
94,Hans Hateboer,$19.80m  ,atalanta bc
95,Joakim Maehle,$14.30m  ,atalanta bc
96,Fabio Depaoli,$3.85m  ,atalanta bc
97,Cristiano Piccini,$2.42m  ,atalanta bc
98,Raoul Bellanova,$1.10m  ,atalanta bc
99,Davide Ghislandi,$495Th.  ,atalanta bc
100,Marten de Roon,$25.30m  ,atalanta bc
101,Simone Panada,$275Th.  ,atalanta bc
102,Remo Freuler,$27.50m  ,atalanta bc
103,Mario Pasalic,$25.30m  ,atalanta bc
104,Jacopo Da Riva,$770Th.  ,atalanta bc
105,Emmanuel Gyabuaa,$715Th.  ,atalanta bc
106,Ruslan Malinovskyi,$33.00m  ,atalanta bc
107,Matteo Pessina,$22.00m  ,atalanta bc
108,Aleksey Miranchuk,$16.50m  ,atalanta bc
109,Viktor Kovalenko,$5.50m  ,atalanta bc
110,Alessandro Cortinovis,$825Th.  ,atalanta bc
111,Amad Diallo,$19.80m  ,atalanta bc
112,Papu Gómez,$9.90m  ,atalanta bc
113,Josip Ilicic,$6.60m  ,atalanta bc
114,Duván Zapata,$36.30m  ,atalanta bc
115,Luis Muriel,$33.00m  ,atalanta bc
116,Sam Lammers,$6.60m  ,atalanta bc
117,Wojciech Szczesny,$27.50m  ,juventus fc
118,Gianluigi Buffon,$1.10m  ,juventus fc
119,Franco Israel,$660Th.  ,juventus fc
120,Carlo Pinsoglio,$440Th.  ,juventus fc
121,Giovanni Garofani,$165Th.  ,juventus fc
122,Matthijs de Ligt,$82.50m  ,juventus fc
123,Merih Demiral,$30.80m  ,juventus fc
124,Leonardo Bonucci,$8.80m  ,juventus fc
125,Daniele Rugani,$5.50m  ,juventus fc
126,Radu Dragusin,$3.30m  ,juventus fc
127,Giorgio Chiellini,$1.65m  ,juventus fc
128,Koni De Winter,$440Th.  ,juventus fc
129,Alessandro Pio Riccio,$385Th.  ,juventus fc
130,Riccardo Capellini,$275Th.  ,juventus fc
131,Davide De Marino,$193Th.  ,juventus fc
132,Alex Sandro,$22.00m  ,juventus fc
133,Gianluca Frabotta,$2.75m  ,juventus fc
